id_programa,nome,unidade_acompanhamento,situacao,ano_programa,sigla_unidade_responsavel_acompanhamento,nome_institucional_programa,objetivo_programa
2717,Promoção e Capacitação em Tecnologias de Propulsores Elétricos,Diretoria de Inteligência Estratégica e Novos Negócios,DISPONIBILIZADO,2024,DIEN,"Ação Orçamentária: 20VB - Pesquisa, Desenvolvimento Tecnológico e Formação de Capital Humano para o Setor Espacial  PO 0007 - Desenvolvimento de Competências e Capital Humano para o Setor Espacial","Esse Termo de Execução Descentralizada (TED) tem como objetivo fomentar um projeto de desenvolvimento de tecnologias e competências, com apoio a formação de capital humano e disseminação de conhecimento no setor da propulsão elétrica espacial. O projeto será conduzido em 12 meses e realizado sob a coordenação do Universidade de Brasília (UnB) em colaboração com o INPE e outras universidades como a UFSC. O projeto terá quatro metas a serem alcançadas, sendo três eventos de capacitações voltadas para a comunidade de propulsão elétrica no Brasil e uma meta de desenvolvimento tecnológico, sendo essas:

Realização do 2º Workshop Brasileiro em Propulsão Elétrica Espacial;
Realização da 2ª Escola Brasileira de Propulsão Elétrica Espacial;
Realização de um curso sobre propulsão elétrica e suas aplicações;
Proposta de um propulsor elétrico adequado para uma classe de missões com nano satélites.

O projeto buscará promover uma ampla discussão técnica, a partir da realização de uma Escola e um Workshop voltado para a área de Propulsão Elétrica Espacial, com participação de especialistas nacionais e internacionais. Os eventos terão apresentações e debates visando um futuro projeto de desenvolvimento de pequenos satélites nacionais com propulsores elétricos, além de contribuir para a consolidação da “Rede Brasileira de Propulsão Elétrica”. Para divulgação, o será realizado um curso sobre propulsão elétrica e suas aplicações a ser realizado pela plataforma AEB Escola Virtual tendo como público-alvo professores do Ensino Médio e estudantes de graduação de áreas relacionadas ao tema. Na última fase do projeto, será elaborada uma proposta de desenvolvimento de um propulsor elétrico nacional que atenda uma missão espacial de um micro ou nanossatélite. A escolha dessa tecnologia será embasada em estudos atuais e referências bibliográficas relevantes que serão revistas, além de análises de custos e oportunidades em harmonia com pesquisas existentes que possam obter orçamento compatíveis com os objetivos almejados em uma futura missão de nanossatélite usando propulsão elétrica. A tecnologia a ser escolhida para a proposta deve estar em nível de maturidade tecnológica de pelo menos TRL 3 para então propor os desenvolvimentos futuros necessários para que o propulsor atinja os níveis TRL 5 a 6. As documentações técnicas produzidas pelos projetos serão disponibilizadas a grupos universitários envolvidos em estudos sobre propulsão elétrica, podendo ser usadas como base teórica e tecnológica para reprodução e futuros desenvolvimentos. O objetivo é estimular o interesse na propulsão elétrica e auxiliar a formação de novos grupos de pesquisa, disseminando o conhecimento básico sobre o assunto."
1888,Foguete universitário padrão Uirapuru - Base tecnológica para nivelamento de conhecimento em equipes universitárias.,Diretoria de Inteligência Estratégica e Novos Negócios,DISPONIBILIZADO,2023,DIEN,"Pesquisa, Desenvolvimento Tecnológico e Formação de Capital Humano para o Setor Espacial  PO 0007 - Desenvolvimento de Competências e Capital Humano para o Setor Espacial","O presente instrumento tem por objeto o desenvolvimento de competências e apoio a formação de capital humano em projetos de foguetes experimentais acadêmicos. Para tal fim, será desenvolvido dois projetos propulsão sob a coordenação do Instituto Tecnológico de Aeronáutica (ITA). O primeiro projeto consiste em um foguete a propulsão sólida contemplando a fabricação, os testes e um lançamento a partir do território nacional e preferencialmente em um centro de lançamento.  O segundo projeto contempla o desenvolvimento e testes de um motor foguete híbrido para caracterização em bancada. Ambos os projetos serão executados de forma paralela, de forma a integrar e comparar o conhecimento extraído em cada desenvolvimento.
As documentações técnicas produzidas pelos projetos serão disponibilizadas à grupos universitários de foguete modelismo, podendo ser usados como base teórica e tecnológica para reprodução e futuros desenvolvimentos. Além disso, serão produzidos materiais didáticos e cursos no formato EaD a serem disponibilizados na plataforma AEB Escola Virtual, tendo como público-alvo estudantes de graduação dos cursos de aeroespacial e afins. O objetivo é auxiliar a formação grupos foguetes universitários, disseminando e nivelando o conhecimento mínimo para a atuação dos estudantes com menores riscos à segurança e maiores contribuições tecnológicas e científicas.
Os cursos serão disponibilizados no formato síncronos e de autoaprendizagem (assíncronos).  Os cursos síncronos serão realizados a cada semestre e objetivarão a participação das equipes universitárias atuais. Esses cursos serão adaptados para o formato de autoaprendizagem, oferecendo acesso ao conhecimento a todos os novos integrantes destas equipes e às novas equipes formadas. 
Estudantes do ITA que participarem dos projetos de desenvolvimento do foguete e bancada de motor-foguete padrão atuaram como mentores nos cursos EaD, sob a orientação dos professores. Esses estudantes terão as atividades previstas neste objeto em harmonia com projetos de extensão no ITA, projetos de graduação e de iniciação científica.
Os temas dos cursos e materiais produzidos seguirão as metas de desenvolvimento a seguir:
1.          Capacitar estudantes de graduação do ITA para o projeto de um foguete padrão baseado em competições universitárias; Nivelamento básico de aerodinâmica e propulsão (propelente sólidos e híbridos); 
2.          Projeto técnico do foguete e de seus subsistemas. Relatório que conterá informações técnicas e teóricas utilizadas na proposição do projeto, simulações relevantes, desenho de peças e diagramas de integração;
3.          Desenvolvimento dos requisitos de missão dos dois projetos e de seus subsistemas, com completa previsão de aquisições, de fabricação e testes;
4.          Fabricação e teste de componentes e subsistemas do foguete padrão a propulsão sólida e do motor foguete híbrido, com análise preliminar dos resultados obtidos e acompanhamento de aquisições, fabricações e entregas;
5.          Integração dos subsistemas e verificação final para lançamento do foguete a propulsão sólida e para testes do motor a propulsão híbrida; 
6.          Operação de lançamento do foguete e testes em bancada do sistema propulsivo motor híbrido."
4360,Participação da Olimpíada Nacional de Ciência no Congresso Planetário da ASE,Diretoria de Inteligência Estratégica e Novos Negócios,DISPONIBILIZADO,2025,DIEN,PO 0007 - Desenvolvimento de Competências e Capital Humano para o Setor Espacial,Apoiar a participação de estudantes e professores da Olimpíada Nacional de Ciências (ONC) no CONGRESSO PLANETÁRIO DA ASE - 2025
3704,Pesquisa e Desenvolvimento em Tecnologias Associadas a Veículos Espaciais,Diretoria de Gestão de Portfólio,DISPONIBILIZADO,2025,DGEP,Desenvolvimento de Motor Foguete a Propelente L´íquido (MFPL) L25,Desenvolvimento de um protótipo de voo do MFPL L25 (Fase 0).
2354,Obrigações Ambientais - MCTI,Diretoria de Gestão de Portfólio,DISPONIBILIZADO,2024,DGEP,LOC - CLA / MCTI,"Cumprimento de obrigações relativas às condicionantes da Licença de Operação Corretiva expedida pelo Ibama ao CLA, sob responsabilidade do MCTI devido à inventariança da extinta Alcântara Cyclone Space (ACS)."
4082,Desenvolvimento do Primeiro Satélite da Missão AMZ1B/AQUAE/SABIA-Mar,Diretoria de Gestão de Portfólio,DISPONIBILIZADO,2025,DGEP,Desenvolvimento de Sistemas Espaciais,"Desenvolver, lançar e comissionar o satélite Amazonia 1B como o primeiro satélite da missão AQUAE. Esse PO visa concluir a integração do satélite Amazonia 1B, viabilizar seu lançamento e comissionamento. Estão incluídas as atividades do segmento solo controle e aplicação, as quais são necessárias para a entrada do Amazonia 1B na sua fase operacional."
3608,Implantação do CEA - CLA,Diretoria de Gestão de Portfólio,DISPONIBILIZADO,2025,DGEP,Implantação do CEA - CLA,"Viabilizar um conjunto mínimo para lançamentos de veículos de pequeno porte, compreendendo os sistemas de localização e telemetria, segurança de superfície, segurança de voo, trajetografia, meteorologia, metrologia, gerenciamento da qualidade, alojamentos e demais itens identificados como necessários."
3744,Programa GLOBE no Maranhão,Diretoria de Inteligência Estratégica e Novos Negócios,DISPONIBILIZADO,2025,DIEN,PO 0007 - Desenvolvimento de Competências e Capital Humano para o Setor Espacial,"Promover, no Estado do Maranhão, a capacitação de jovens cientistas cidadãos no desenvolvimento de pesquisas científicas sobre o meio ambiente, focando no uso de aplicação de tecnologias espaciais e na coleta de dados ambientais em campo por meio do Programa GLOBE."
2479,"2307 - Programa Espacial Brasileiro: Ação 21AG - Desenvolvimento de Missões e Aplicações Espaciais, PO 000I - Atividades Preparatórias Visando o Desenvolvimento da Missão CBERS 06",Diretoria de Gestão de Portfólio,DISPONIBILIZADO,2024,DGEP, Nome Institucional do Programa  PO 000I - Atividades Preparatórias Visando o Desenvolvimento da Missão CBERS 06,"Atividades preparatórias visando desenvolver, fabricar, testar, lançar e comissionar um satélite de sensoriamento remoto com o uso de carga útil SAR (Radar de abertura sintética) em cooperação com a República Popular da China."
3853,Programa GLOBE no Maranhão,Diretoria de Inteligência Estratégica e Novos Negócios,DISPONIBILIZADO,2025,DIEN, PO 0007 - Desenvolvimento de Competências e Capital Humano para o Setor Espacial,"Promover, no Estado do Maranhão, a capacitação de jovens cientistas cidadãos no desenvolvimento de pesquisas científicas sobre o meio ambiente, focando no uso de aplicação de tecnologias espaciais e na coleta de dados ambientais em campo por meio do Programa GLOBE."
2357,Desenvolvimento e Lançamento de Foguetes Suborbitais,Diretoria de Gestão de Portfólio,DISPONIBILIZADO,2024,DGEP,Desenvolvimento e Lançamento de Foguetes Suborbitais,"Desenvolvimento de tecnologias e soluções de engenharia, fabricação e ensaios em solo de sistemas e subsistemas de uma família de novos protótipos de foguetes suborbitais, bem como de dispositivos e meios de solo para testes e lançamento. Transferência para a indústria das tecnologias de foguetes suborbitais já dominadas pelo DCTA/IAE, utilizando-se o instrumento de poder de compra do Estado como um dos meios para incentivar a inserção da indústria nacional no mercado de lançamento de foguetes."
2356,Programa GLOBE no Maranhão,Diretoria de Inteligência Estratégica e Novos Negócios,DISPONIBILIZADO,2024,DIEN,"Ação Orçamentária: 20VB - Pesquisa, Desenvolvimento Tecnológico e Formação de Capital Humano para o Setor Espacial  PO 0007 - Desenvolvimento de Competências e Capital Humano para o Setor Espacial","Promover, no Estado do Maranhão, a capacitação de jovens cientistas cidadãos no desenvolvimento de
pesquisas científicas sobre o meio ambiente, focando no uso de aplicação de tecnologias espaciais e na
coleta de dados ambientais em campo por meio do Programa GLOBE."
2250,"Manutenção da infraestrutura de solo, de laboratórios, de desenvolvimento, de aplicações, e apoio às missões satelitais.",Diretoria de Gestão de Portfólio,DISPONIBILIZADO,2024,DGEP,"Manutenção da infraestrutura operacional, de desenvolvimento e de apoio às operações do Instituto Nacional de Pesquisas Espaciais.","Desenvolvimento, atualização e manutenção das aplicações e infraestruturas espaciais para o atendimento de demandas qualificadas do Estado e da sociedade, especialmente para observação do território, meteorologia e aplicações científicas, tais como laboratórios e centros operacionais, incluindo as infraestruturas necessárias à exploração dos dados das missões."
2266,Funcionamento e Atualização da Infraestrutura de Apoio a Veículos Espaciais,Diretoria de Gestão de Portfólio,DISPONIBILIZADO,2024,DGEP,Manutenção da infraestrutura espacial junto ao DCTA,"Desenvolvimento, atualização e manutenção das aplicações e infraestruturas espaciais para o atendimento de demandas qualificadas do Estado e da sociedade, especialmente centros de lançamento, incluindo as infraestruturas necessárias à exploração dos dados das missões. Nesse contexto, destaque-se a viabilização do Centro de Lançamento de Alcântara como porta de acesso brasileiro ao espaço. A autonomia do país no setor espacial passa pela existência da infraestrutura necessária para lançar satélites brasileiros por veículos brasileiros a partir do território nacional."
2359,Pesquisa e Desenvolvimento em Tecnologias Associadas a Veículos Espaciais,Diretoria de Gestão de Portfólio,DISPONIBILIZADO,2024,DGEP,Desenvolvimento de um protótipo de voo do MFPL L25 (Fase 0).,"Desenvolvimento de tecnologias associadas a veículos lançadores de satélites, a foguetes suborbitais e a módulos de experimentos espaciais, como forma de buscar a gradativa autonomia no setor. Ênfase será dada no desenvolvimento de tecnologias de motores a propulsão líquida, de motores-foguete de alto desempenho com propelentes sólidos, de estágios a propulsão líquida para veículos lançadores, de envelopes-motores fabricados em materiais compósitos e de sistemas eletrônicos de controle de atitude e guiamento para foguetes."
201,"Manutenção da Infraestrutura de Solo, de Desenvolvimento e Apoio à Operação de Missões Satélitais",Agência Espacial Brasileira,DISPONIBILIZADO,2022,AEB,"Manutenção da Infraestrutura de Solo, de Desenvolvimento e Apoio à Operação de Missões Satélitais","Promoção da Adequação e da manutenção dos sistemas e da infraestrutura de solo operacional dedicada  à pesquisa e ao desenvolvimento e às operações de missões satelitais, compreendendo as áreas técnicas e operacionais de pesquisa e desenvolvimento do Instituto Nacional de Pesquisas Espaciais"
1157,"Apoio ao sistema de metrologia, normalização e certificação para a área espacial",Diretoria de Inteligência Estratégica e Novos Negócios,DISPONIBILIZADO,2023,DIEN,"Ação 21AH: Governança, Estudos Estratégicos e Regulação de Atividades Espaciais","Apoio ao funcionamento do Sistema de Metrologia, Normalização e Certificação para a Área Espacial"
1498,Apoio ao desenvolvimento da PSM e da realização da Operação Potiguar,Diretoria de Gestão de Portfólio,DISPONIBILIZADO,2023,DGEP,21AI - Infraestrutura e Aplicações Espaciais,Apoio ao desenvolvimento da PSM e da realização da Operação Potiguar.
2309,"TED INPE 2024-2027 da ação 20VB, POs 0003, 0009 e 000A.",Diretoria de Inteligência Estratégica e Novos Negócios,DISPONIBILIZADO,2024,DIEN,"PO 000A - Pesquisa, Aplicações e Desenvolvimento Tecnológico em Observação da Terra; PO 0003 - Apoio e Desenvolvimento de Produtos e Processos Inovadores para o Setor Espacial e suas Aplicações; PO 0009 - Pesquisa e Desenvolvimento em Aeronomia, Astrofísi","O TED tem como objeto para cada PO:
- PO0003: Apoiar e desenvolver tecnologias críticas, produtos e processos inovadores, visando atender a missões espaciais e suas aplicações, com o intuito de promover o avanço da área espacial e integrá-la ao setor produtivo nacional.
- PO 0009: Desenvolver pesquisa, tecnologia e instrumentação espacial e de solo para as ciências espaciais (conjunto formado por astrofísica, heliofísica, ciências planetárias e aeronomia).
- PO 000A: Realizar pesquisa científica e desenvolvimento tecnológico em sensoriamento remoto e geoinformática, gerando conhecimento e inovação para a extração de informações e análise espaço-temporal de dados obtidos por satélites de observação da Terra.

Para o PO 0003, as etapas se concentram em 3 atividades: (1) coordenar as atividades de consultoria, pesquisa aplicada e desenvolvimento tecnológico nas áreas de combustão e catálise, materiais especiais, dispositivos e sensores para uso espacial e ambiental, modelagem matemática e de sistemas, computação e matemática aplicada; (2) prestar serviços em pesquisa aplicada e desenvolvimento tecnológico nas áreas de combustão e catálise, materiais especiais, dispositivos e sensores para uso espacial e ambiental, modelagem matemática e de sistemas, computação e matemática aplicada e (3) incentivar o intercâmbio científico, a divulgação e a transferência de tecnologia dos resultados de pesquisa e desenvolvimento obtidos por suas áreas de atuação.

Para o PO 0009 as etapas concentram-se em atividades relacionadas a: pesquisas teóricas e observacionais em diversas áreas da Astronomia, com ênfase no desenvolvimento de instrumentação astronômica. Tais atividades são responsáveis por desenvolver a maior parte da instrumentação em radioastronomia no país e operar as facilidades para observações radioastronômicas profissionais do Brasil. O PO apoia  de forma indireta desenvolvimentos instrumentais em astronomia no país nas áreas de ondas gravitacionais e altas energias. A Divisão de Astrofísica contribui ativamente para a melhoria da instrumentação em astronomia óptica disponibilizada para toda a comunidade astronômica brasileira; desenvolve pesquisa em Heliofísica, Ciências Planetárias e Aeronomia. Também busca compreender fenômenos físico-químicos que ocorrem na região de abrangência do sol (Heliosfera), dos planetas, do espaço interplanetário, incluindo o espaço próximo à Terra, seu campo magnético e sua atmosfera. O PO apoiará atividades de pesquisa e desenvolvimento em temas de física solar, física dos plasmas espaciais, física do meio interplanetário, magnetosferas planetárias, física dos raios cósmicos na heliosfera, física da atmosfera, luminescência atmosférica, ionosfera, eventos luminosos transientes, emissões de alta energia de tempestades, geomagnetismo e física de exoplanetas.

Para o PO 000A, o plano orçamentário apoia a manutenção e o aprimoramento de atividades críticas, como a formação e capacitação de recursos humanos em sensoriamento remoto e geoinformática, e a pesquisa e desenvolvimento tecnológico de ponta nas mesmas áreas. A manutenção de longo-prazo dessas atividades permite a consolidação de tecnologias críticas de interesse do Programa Espacial Brasileiro e das áreas prioritárias do MCTI, bem como a inserção das inovações geradas nos programas e projetos conduzidos no INPE em processamento avançado de dados de sensores remotos, e no monitoramento ambiental, territorial e dos biomas brasileiros. As atividades apoiadas pelo PO 000A na proposta de TED promovem o uso e a disseminação de dados de sensores orbitais para observação da Terra, de forma a apoiar as instituições de outros Estados no âmbito dos objetivos de desenvolvimento sustentável defendidos pelo Brasil."
3705,Desenvolvimento e Lançamento do Veículo Lançador de Microssatélites - VLM-1,Diretoria de Gestão de Portfólio,DISPONIBILIZADO,2025,DGEP,Desenvolvimento e Lançamento do Veículo Lançador de Microssatélites - VLM-1,"O VLM-1 tem como objetivo colocar um microssatélite com massa igual ou superior a 30 kg em uma órbita terrestre baixa (LEO), igual ou superior a 300 km e de baixa inclinação (referência: “DDM - Documento Definição de Missão – Projeto VLM-1”, de 15 de agosto de 2018). Este veículo está sendo desenvolvido em parceria com o Centro Aeroespacial Alemão (DLR), visando atender às necessidades tanto do Programa Espacial Brasileiro quanto do Alemão, com o objetivo de entrar em um nicho de mercado pouco explorado, o de veículos específicos para o lançamento de microssatélites, segmento este em crescimento devido ao grande número de novas aplicações científicas e operacionais."
3987,Desenvolvimento e Lançamento de Foguetes Suborbitais,Diretoria de Gestão de Portfólio,DISPONIBILIZADO,2025,DGEP,Desenvolvimento e Lançamento de Foguetes Suborbitais,"Desenvolvimento de tecnologias e soluções de engenharia, fabricação e ensaios em solo de sistemas e subsistemas de uma família de novos protótipos de foguetes suborbitais, bem como de dispositivos e meios de solo para testes e lançamento. Transferência para a indústria das tecnologias de foguetes suborbitais já dominadas pelo DCTA/IAE, utilizando-se o instrumento de poder de compra do Estado como um dos meios para incentivar a inserção da indústria nacional no mercado de lançamento de foguetes."
4245,"Lançamento, comissionamento e operação do satélite Catarina A1",Diretoria de Gestão de Portfólio,DISPONIBILIZADO,2025,DGEP,Apoio ao Desenvolvimento de Novas Missões Espaciais,"O Objetivo Geral é a implantação da fase de lançamento, comissionamento e operação do sistema espacial A1 da Frota A da Constelação Catarina. Os objetivos específicos são:
1. Estimular e desenvolver a indústria espacial no estado de Santa Catarina,
2. Desenvolver tecnologia nacional para sistemas espaciais,
3. Contribuir com o sistema brasileiro de coleta de dados,
4. Capacitação de recursos humanos para área espacial.
O sistema espacial foco deste plano de trabalho é formado por um segmento espacial composto por 1 (um) nanossatélite da Frota A (unidade A1).
O sistema espacial desenvolvido, além de ser um componente da Frota A, também realizará testes de tecnologias de uso futuro e desenvolverá plataformas a serem replicadas nos demais sistemas da Constelação."
2539,Aplicações espaciais com lançamento de balões,Diretoria de Gestão de Portfólio,DISPONIBILIZADO,2024,DGEP,Balões UFT,"Viabilizar a realização de atividades com balões estratosféricos, motivados pela parceria internacional Brasil x França, na região de Palmas/TO, em parceria com a UFT."
138,Centro Vocacional Tecnológico Espacial - CTV ESPACIAL,Agência Espacial Brasileira,DISPONIBILIZADO,2022,AEB,Programa Espacial Brasileiro,Provimento de recursos necessários para continuidade do programa de educação continuada do primeiro Centro Vocacional Tecnológico Espacial do Brasil no biênio 2022/2023.
889,Desenvolvimento de Sistemas Espaciais - ITASAT 2,Agência Espacial Brasileira,DISPONIBILIZADO,2022,AEB,DESENVOLVIMENTO DE SISTEMAS ESPACIAIS - ITASAT 2,"DESENVOLVIMENTO DE CARTA ÚTIL COMPOSTA POR SENSORES PARA MEDIDAS DA IONOSFERA E DE GEOLOCALIZAÇÃO, COM COMO DO SEGMENTO SOLO DE TRÊS NANOSATÉLITES."
2655,Conectar a URRN à RNP,Agência Espacial Brasileira,DISPONIBILIZADO,2024,AEB,"Conectar a URRN à RNP: Conectividade lógica entre a Rede Corporativa da AEB e a Internet, através do PoP-RN, e conectividade física entre a Rede Corporativa da AEB e a rede do PoP-RN, através de um enlace dedicado da Rede GigaNatal",Estabelecer conexões entre a Rede Corporativa da AEB e a Internet através do PoP-RN.
2465,"Programa Espacial Brasileiro: Ação 21 AG - Desenvolvimento Missões e Aplicações Espaciais, PO 000F - Apoio à Projetos de Pesquisa e Desenvolvimento em Subsistemas Eletrônicos e Mecânicos para Plataformas e Cargas Úteis de Satélites.",Agência Espacial Brasileira,DISPONIBILIZADO,2024,AEB, Apoio à Projetos de Pesquisa e Desenvolvimento em Subsistemas Eletrônicos e Mecânicos para Plataformas e Cargas Úteis de Satélites.,"Projetos de pesquisa e desenvolvimento em Subsistemas Eletrônicos e Mecânicos para plataformas de serviço, cargas úteis de satélites e sistemas correlatos."
2278,Manutenção da infraestrutura de desenvolvimento de veículos espaciais do IAE,Diretoria de Gestão de Portfólio,DISPONIBILIZADO,2024,DGEP,Manutenção da infraestrutura do IAE,"Desenvolvimento, atualização e manutenção das aplicações e infraestruturas espaciais para o atendimento de demandas qualificadas do Estado e da sociedade, especialmente para observação do território, meteorologia e aplicações científicas, tais como laboratórios e centros de lançamento, incluindo as infraestruturas necessárias à exploração dos dados das missões. Nesse contexto, destaque-se a viabilização do Centro de Lançamento de Alcântara como porta de acesso brasileiro ao espaço. A autonomia do país no setor espacial passa pela existência da infraestrutura necessária para lançar satélites brasileiros por veículos brasileiros a partir do território nacional."
2358,Desenvolvimento e Lançamento do Veículo Lançador de Microssatélites - VLM-1,Diretoria de Gestão de Portfólio,DISPONIBILIZADO,2024,DGEP, Desenvolvimento e Lançamento do Veículo Lançador de Microssatélites VLM-1,"O VLM-1 tem como objetivo colocar um microssatélite com massa igual ou superior a 30 kg em uma órbita terrestre baixa (LEO), igual ou superior a 300 km e de baixa inclinação (referência: “DDM - Documento Definição de Missão – Projeto VLM-1”, de 15 de agosto de 2018). Este veículo está sendo desenvolvido em parceria com o Centro Aeroespacial Alemão (DLR), visando atender às necessidades tanto do Programa Espacial Brasileiro quanto do Alemão, com o objetivo de entrar em um nicho de mercado pouco explorado, o de veículos específicos para o lançamento de microssatélites, segmento este em crescimento devido ao grande número de novas aplicações científicas e operacionais."
5072, Desenvolvimento e Lançamento de Foguetes Suborbitais,Diretoria de Gestão de Portfólio,DISPONIBILIZADO,2026,DGEP,"Desenvolvimento e lançamento de foguetes suborbitais e de veículos lançadores de satélites, com a infraestrutura associada.","Promover apoio à Campanha de Lançamento, bem como às atividades fins, acordos, parcerias e infraestrutura de meios de solo relacionadas a veículos suborbitais."
2494, STEAM2D adaptada para o contexto das atividades espaciais,Diretoria de Inteligência Estratégica e Novos Negócios,DISPONIBILIZADO,2024,DIEN,PO 0007 - Desenvolvimento de Competências e Capital Humano para o Setor Espacial,"O presente instrumento tem por objeto o Desenvolvimento de atividades de ensino, divulgação e formação de professores da educação básica nas áreas de STEAM2D adaptada para o contexto das atividades espaciais com o intuito de capacitar docentes e estudantes da Educação Básica do Ensino Fundamental séries finais da rede pública por meio de oficinas baseadas em STEAM2D (Science – Technology – Engineering – Art – Mathematics – Manufacture and Design) com ênfase na temática espacial, disseminando conhecimentos sobre exploração espacial, astronáutica, tecnologias e aplicações espaciais, astronomia, dentre outros. Para apoiar este propósito também serão capacitados estudantes de nível superior do ITA que atuarão como mentores(as) das oficinas em dez escolas públicas parceiras na cidade de São José dos Campos, São  Paulo, tendo por objetivos específicos:
1.    Desenvolvimento de metodologia de ensino de Ciências com foco nas Tecnologias Espaciais aplicando os conceitos STEAM2D em um habitat lunar simulado
escolar (HaLu)* com a produção de material didático e protótipo
2.    Capacitar estudantes de graduação e pós-graduação do ITA em conteúdos STEAM2D aplicados às áreas espaciais para aplicação de oficinas na educação básica;
3.    Oferecer para escolas de Ensino Fundamental Séries Finais da Educação Básica da Rede Pública de Ensino de São José dos Campos oficinas de formação para docentes em STEAM2D aplicadas à área espacial;
4.    Oferecer oficinas de aprofundamento à docentes da Educação Básica para a aplicação dos conhecimentos dos temas das oficinas em suas atividades didáticas cotidianas e para que eles atuem como desenvolvedores de novas ações educacionais em STEAM2D aplicadas à área espacial; 
5.    Orientar estudantes do ensino médio ou fundamental em atividades de divulgação científica ou iniciação científica jr em assuntos correlatos à área espacial e oferecer mentoria a alunos do Ensino Médio com alunos de graduação/pós-graduação do ITA para discussão de planos de vida e carreira em STEAM2D;
6.    Oferecer atividades de divulgação científica nas áreas de STEAM2D aplicadas à área espacial em eventos do Ciência no Parque (Parque Vicentina Aranha, SJC) e nas redes sociais para o público;
